session_id,source.repository,agent,model,trajectory,candidate_score,anomaly_score_global,anomaly_score_within_repo,statistics.input_tokens,statistics.reasoning_tokens,statistics.output_tokens,checkpoint_token_usage.input_tokens,checkpoint_token_usage.cache_creation_tokens,checkpoint_token_usage.cache_read_tokens,checkpoint_token_usage.output_tokens,checkpoint_token_usage.api_call_count,statistics.tool_calls,statistics.user_messages,statistics.assistant_messages,bytes,derived::tokens_per_tool_call,derived::tokens_per_message
019e013e-7813-7990-aa0c-a11525329658,tristanmanchester/sifs,Codex,gpt-5.5,data/transcripts/019e013e-7813-7990-aa0c-a11525329658.jsonl,3.75374886130984,3.002327308702139,4.368548313443413,218027737,49211,291826,4837593.0,0.0,213190144.0,341037.0,1524.0,2122,12,411,14477061,205814.83129123467,1032480.0756501182
019d9fd5-94c1-7312-b0f4-65d9eafc7dc2,zchee/spanner-manager,Codex,gpt-5.4,data/transcripts/019d9fd5-94c1-7312-b0f4-65d9eafc7dc2.jsonl,3.7130030260363993,2.2549004129591372,4.9059960730996135,63971648,47254,84027,63554262.0,0.0,59893120.0,178301.0,308.0,272,46,25,5043679,690179.8529411765,2644069.295774648
ses_31131b2b5ffew4mR2BW65yUBG7,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_31131b2b5ffew4mR2BW65yUBG7.jsonl,3.6766028948216247,2.1453945810891875,4.929409696966346,1452973,0,117974,1811899.0,0.0,48987392.0,131295.0,401.0,383,33,27,13727217,137080.7676240209,875032.2333333333
33dc6cdd-e1df-4330-8d95-9a10ca56ff0f,rolopez23/vanilla-rebuild,Claude Code,claude-sonnet-4-6,data/transcripts/33dc6cdd-e1df-4330-8d95-9a10ca56ff0f.jsonl,3.647502606749222,2.324989036624779,4.729559164123766,1885,0,347206,1884.0,1814781.0,79243031.0,347182.0,781.0,741,97,48,7312510,110332.995951417,563839.6551724138
019d652e-bb47-7590-96f1-e572569920a8,zchee/zmux,Codex,gpt-5.4,data/transcripts/019d652e-bb47-7590-96f1-e572569920a8.jsonl,3.64362787452394,3.1343941355418115,4.060273660963862,285932229,212921,268181,284164596.0,0.0,210814208.0,693341.0,761.0,1169,162,248,14053717,669021.5885372113,1907527.407317073
ses_2ed7d6f3dffeVXDzBr84bDXF42,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_2ed7d6f3dffeVXDzBr84bDXF42-812f27711893.jsonl,3.5959749352685564,2.1343161657883885,4.791877564843238,1085778,0,84270,1237515.0,0.0,40119808.0,93779.0,347.0,336,38,29,14515016,126849.69345238095,636141.7462686567
ses_25ba963bdffeUnzAsqx26HNZ5d,ishaan812/reflex.md,OpenCode,claude-opus-4-7,data/transcripts/ses_25ba963bdffeUnzAsqx26HNZ5d.jsonl,3.5903065335784072,2.175994164799297,4.747471198943133,798,0,629463,41.0,33929.0,18912183.0,25993.0,27.0,581,38,305,7563910,33739.12908777969,57149.95335276968
ses_30923b961ffeNT0MbjVtd2LiNf,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_30923b961ffeNT0MbjVtd2LiNf.jsonl,3.5765699264831787,2.147742361682996,4.745610661319692,1942511,0,108977,2215174.0,0.0,28735360.0,114849.0,312.0,271,76,79,6056277,122203.62730627306,213659.2451612903
ses_31c39e57fffe3UYMK9YBcHChXZ,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_31c39e57fffe3UYMK9YBcHChXZ.jsonl,3.533138014049097,2.1229176154586056,4.686954703804953,4123103,0,116818,370510.0,0.0,3120256.0,5917.0,20.0,384,50,40,9736927,20147.458333333332,85962.48888888888
74e61477-7dd3-43aa-80de-045bd63d0b05,parthjeet/taskflow,Claude Code,,data/transcripts/74e61477-7dd3-43aa-80de-045bd63d0b05.jsonl,3.5252105296725578,1.323296010354679,5.326776954569004,170,0,30239,170.0,472295.0,15591899.0,30239.0,138.0,146,22,15,6594354,110446.23287671233,435814.86486486485
019d6380-37c5-7cb2-81d3-32d50df80731,zchee/zmux,Codex,gpt-5.4,data/transcripts/019d6380-37c5-7cb2-81d3-32d50df80731.jsonl,3.4926810698941577,2.940142707998543,3.944757911445115,202337093,71761,163682,201550271.0,0.0,130578304.0,304667.0,472.0,846,135,74,9937193,632395.0945626477,2559838.5167464116
ses_31a4b9127ffeWeR4XnP70FhbEV,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_31a4b9127ffeWeR4XnP70FhbEV.jsonl,3.448521134473248,2.0335928219489428,4.606189753811316,2308136,0,81704,2440588.0,0.0,35442816.0,97371.0,309.0,233,37,32,9425339,173265.76824034334,585085.8550724637
ses_30dbba977ffeu4THW7jaQn7dZk,dayhaysoos/nimbus,OpenCode,,data/transcripts/ses_30dbba977ffeu4THW7jaQn7dZk.jsonl,3.4355138052494065,2.0999939992191736,4.528211828365052,2205237,0,84340,620365.0,0.0,7359744.0,14830.0,48.0,298,52,35,12083474,34511.959731543626,118213.37931034483
019e6467-8ac8-7e91-afee-22233a29a438,tristanmanchester/sifs,Codex,gpt-5.5,data/transcripts/019e6467-8ac8-7e91-afee-22233a29a438-91297b2af8ce.jsonl,3.434312439074642,2.8027589364486434,3.951038032132276,227938555,70051,281893,2471354.0,0.0,173938048.0,246555.0,1241.0,1875,37,222,9814217,215972.10506666667,1563504.6216216215
019e6467-8ac8-7e91-afee-22233a29a438,tristanmanchester/sifs,Codex,gpt-5.5,data/transcripts/019e6467-8ac8-7e91-afee-22233a29a438-7d0c2c7db94a.jsonl,3.4336734814263243,2.8024437894437946,3.9501341385029387,227938555,70051,281893,3995899.0,0.0,223942656.0,351944.0,1603.0,1875,37,222,9796906,243510.72053333334,1762867.1853281853
9e572566-be2d-4a7a-9809-9468c2a5f29f,moltis-org/moltis,Claude Code,,data/transcripts/9e572566-be2d-4a7a-9809-9468c2a5f29f.jsonl,3.3766639332346804,2.721573457695957,3.912647049584545,9093,0,268218,9090.0,3151513.0,512333006.0,267925.0,1014.0,968,95,63,37211866,533099.027892562,3266075.0569620254
019e93b2-e997-7881-b092-7b1fb63bf491,fogodev/ars-ui,Codex,gpt-5.5,data/transcripts/019e93b2-e997-7881-b092-7b1fb63bf491.jsonl,3.351903873312027,3.6610133753809975,3.09899609889196,373210450,138249,625364,112292.0,0.0,5269376.0,6271.0,25.0,3746,128,1898,55514069,101271.22984516819,187246.80503455084
2def5933-7d7d-48c7-9c80-b3730c4d8579,paretoimproved/local-roots,Claude Code,,data/transcripts/2def5933-7d7d-48c7-9c80-b3730c4d8579.jsonl,3.34823756806738,1.8800942794284563,4.549445713317408,2946,0,191526,,,,,,419,53,22,10879001,464.13365155131265,2592.96
019e8c4a-fce8-7c63-a3e9-08fd96884c12,evorto-app/app,Codex,gpt-5.5,data/transcripts/019e8c4a-fce8-7c63-a3e9-08fd96884c12-e096ea147a34.jsonl,3.3214482305854336,4.519713349474652,2.3410494969487994,1512192473,477803,2305750,51120473.0,0.0,1461072000.0,2783553.0,10592.0,16875,320,8784,133533790,179553.34186666665,332816.6348857645
47432d30-2d43-4d94-b137-1872c12dd7cf,paretoimproved/local-roots,Claude Code,,data/transcripts/47432d30-2d43-4d94-b137-1872c12dd7cf.jsonl,3.292192531395644,1.9273425747189579,4.4088879504947505,524,0,108792,17.0,6876.0,2225688.0,4227.0,15.0,278,93,61,15741557,8439.34892086331,15234.66883116883
59663164-bb96-4ede-a1f3-183c90dc5e8b,HackatonWinnners/content-factory,Claude Code,,data/transcripts/59663164-bb96-4ede-a1f3-183c90dc5e8b.jsonl,3.2824431598000072,1.7060102404018491,4.572251912034863,727,0,154511,675.0,746361.0,148116122.0,147520.0,605.0,646,11,34,3099350,230907.92724458204,3314811.577777778
9a5ec5e9-2dfe-4caf-9ef9-8cbbd954bf95,yorrick/claude-code-plugins,Claude Code,,data/transcripts/9a5ec5e9-2dfe-4caf-9ef9-8cbbd954bf95.jsonl,3.2490830922754736,1.665186804461512,4.544998236850533,3013,0,73875,3012.0,517799.0,34823782.0,73658.0,229.0,185,63,45,5106200,191866.85405405404,328660.81481481483
019e92f8-84a9-7fc0-bf0e-061072d47c47,fogodev/ars-ui,Codex,gpt-5.5,data/transcripts/019e92f8-84a9-7fc0-bf0e-061072d47c47.jsonl,3.239344938034206,3.588014354665085,2.954069960790759,306889935,118293,587699,561612.0,0.0,16651264.0,27145.0,105.0,3087,117,1521,61086626,105227.09847748623,198312.60866910868
019d9812-fabe-7152-9b38-0778fa5063e5,dayhaysoos/nimbus,Codex,gpt-5.4,data/transcripts/019d9812-fabe-7152-9b38-0778fa5063e5.jsonl,3.2300554057359943,1.7891676635937102,4.408963558397863,13646752,40688,76119,13646752.0,0.0,13296384.0,157495.0,98.0,182,3,36,3466519,224529.05494505496,1047802.2564102564
15c72af5-9cb0-4723-9c4b-797daa3f465f,feltroidprime/s2morrow,Claude Code,,data/transcripts/15c72af5-9cb0-4723-9c4b-797daa3f465f.jsonl,3.222157253694462,1.867149153534453,4.330800244734468,472,0,19427,472.0,702322.0,40041181.0,19427.0,395.0,420,30,8,10062962,97104.0380952381,1073255.1578947369
